quote_date,price
202004,1.2
202005,1.188077
202006,1.16875
202007,1.23
202008,1.2149397
202009,1.2493104
202010,1.2864045
202011,1.2194444
202012,1.2205358
202101,1.1923611
202102,1.1871831
202103,1.2187837
202104,1.2182895
202105,1.2468333
202106,1.3126923
202107,1.2875268
202108,1.2866666
202109,1.2891397
