Table 5,CJRS time series: number of employments furloughed by gender,,,,,,
Daily figures for furloughing supported by the Job Retention Scheme ,,,,,,,
Based on claims made by the 14 January. The December figures are provisional and may be revised due to late and amended claims.,,,,,,,
Date,"Female 
employments 
furloughed","Male 
employments 
furloughed","Employments 
furloughed where 
gender unknown",Provisional indicator,,,
"Wednesday, July 1, 2020","2,907,700","2,723,600","344,100",,,,
"Thursday, July 2, 2020","2,908,100","2,724,100","344,100",,,,
"Friday, July 3, 2020","2,904,600","2,721,500","344,100",,,,
"Saturday, July 4, 2020","2,894,200","2,714,800","343,000",,,,
"Sunday, July 5, 2020","2,888,500","2,711,000","342,900",,,,
"Monday, July 6, 2020","2,881,300","2,703,400","334,900",,,,
"Tuesday, July 7, 2020","2,876,100","2,698,500","334,900",,,,
"Wednesday, July 8, 2020","2,863,200","2,688,500","335,200",,,,
"Thursday, July 9, 2020","2,858,500","2,685,600","335,900",,,,
"Friday, July 10, 2020","2,854,000","2,683,000","336,500",,,,
"Saturday, July 11, 2020","2,844,500","2,674,300","339,700",,,,
"Sunday, July 12, 2020","2,837,100","2,671,100","330,800",,,,
"Monday, July 13, 2020","2,813,000","2,648,600","328,200",,,,
"Tuesday, July 14, 2020","2,807,700","2,644,000","328,200",,,,
"Wednesday, July 15, 2020","2,801,600","2,638,300","324,900",,,,
"Thursday, July 16, 2020","2,794,800","2,631,500","325,100",,,,
"Friday, July 17, 2020","2,790,900","2,627,900","324,300",,,,
"Saturday, July 18, 2020","2,778,900","2,615,300","321,300",,,,
"Sunday, July 19, 2020","2,769,000","2,610,000","319,000",,,,
"Monday, July 20, 2020","2,745,500","2,590,500","323,100",,,,
"Tuesday, July 21, 2020","2,735,900","2,582,100","322,100",,,,
"Wednesday, July 22, 2020","2,730,100","2,577,800","321,600",,,,
"Thursday, July 23, 2020","2,724,900","2,573,100","321,800",,,,
"Friday, July 24, 2020","2,715,800","2,565,100","322,100",,,,
"Saturday, July 25, 2020","2,699,600","2,550,800","322,600",,,,
"Sunday, July 26, 2020","2,681,200","2,537,400","331,000",,,,
"Monday, July 27, 2020","2,647,500","2,507,600","328,400",,,,
"Tuesday, July 28, 2020","2,638,700","2,500,800","328,400",,,,
"Wednesday, July 29, 2020","2,627,600","2,491,800","328,000",,,,
"Thursday, July 30, 2020","2,621,300","2,486,200","328,100",,,,
"Friday, July 31, 2020","2,599,300","2,463,900","329,900",,,,
"Saturday, August 1, 2020","2,131,900","1,934,300","167,000",,,,
"Sunday, August 2, 2020","2,132,100","1,933,900","165,300",,,,
"Monday, August 3, 2020","2,131,000","1,928,500","165,200",,,,
"Tuesday, August 4, 2020","2,127,700","1,925,600","165,200",,,,
"Wednesday, August 5, 2020","2,126,300","1,924,700","165,200",,,,
"Thursday, August 6, 2020","2,125,300","1,923,900","165,200",,,,
"Friday, August 7, 2020","2,124,600","1,923,300","163,900",,,,
"Saturday, August 8, 2020","2,119,400","1,916,400","164,000",,,,
"Sunday, August 9, 2020","2,116,800","1,913,000","162,300",,,,
"Monday, August 10, 2020","2,106,000","1,899,600","162,000",,,,
"Tuesday, August 11, 2020","2,103,000","1,897,000","162,000",,,,
"Wednesday, August 12, 2020","2,101,700","1,896,100","161,800",,,,
"Thursday, August 13, 2020","2,100,300","1,894,800","161,500",,,,
"Friday, August 14, 2020","2,098,100","1,893,200","161,300",,,,
"Saturday, August 15, 2020","2,091,100","1,886,200","162,200",,,,
"Sunday, August 16, 2020","2,085,000","1,882,000","161,900",,,,
"Monday, August 17, 2020","2,072,600","1,871,800","155,100",,,,
